,date,year,id,link,retweet,text,author
1837,12/7,2015,6.74E+17,/realDonaldTrump/status/673993417429524480,FALSE,Statement on Preventing Muslim Immigration: https://www.donaldjtrump.com/press-releases/donald-j.-trump-statement-on-preventing-muslim-immigrationåÊ‰Û_pic.twitter.com/d1dhaIs0S7,DonaldTrump
1838,12/7,2015,6.74E+17,/realDonaldTrump/status/673982228163072000,FALSE,Just put out a very important policy statement on the extraordinary influx of hatred & danger coming into our country. We must be vigilant!,DonaldTrump
1839,12/7,2015,6.74E+17,/realDonaldTrump/status/673961899801858048,FALSE,.@washingtonpost is going out of its way to tell failing candidates how to beat Donald Trump.The Post doesn‰Ûªt get that I‰Ûªm good at winning!,DonaldTrump
1840,12/7,2015,6.74E+17,/realDonaldTrump/status/673917316837543936,FALSE,"Today we honor the fallen at #PearlHarbor, 74 years ago today. If you see a vet today, thank them! #RememberOurVetspic.twitter.com/HVrucgzWfs",DonaldTrump
1841,12/7,2015,6.74E+17,/realDonaldTrump/status/673905762087936000,FALSE,"""Credible Source on 9-11 Muslim Celebrations: FBI""http://wkrg.com/2015/11/25/credible-source-on-9-11-muslim-celebrations-fbi/åÊ‰Û_",DonaldTrump
1842,12/7,2015,6.74E+17,/realDonaldTrump/status/673885376742825984,FALSE,"If @amazon ever had to pay fair taxes, its stock would crash and it would crumble like a paper bag. The @washingtonpost scam is saving it!",DonaldTrump
1843,12/7,2015,6.74E+17,/realDonaldTrump/status/673865641892421632,FALSE,"N.Y.C. has the worst Mayor in the United States. I hate watching what is happening with the dirty streets, the homeless and crime! Disgrace",DonaldTrump
1844,12/6,2015,6.74E+17,/realDonaldTrump/status/673741357190615040,FALSE,"Obama said in his speech that Muslims are our sports heroes. What sport is he talking about, and who? Is Obama profiling?",DonaldTrump
1845,12/6,2015,6.74E+17,/realDonaldTrump/status/673679711437004805,FALSE,"Well, Obama refused to say (he just can't say it), that we are at WAR with RADICAL ISLAMIC TERRORISTS.",DonaldTrump
1846,12/6,2015,6.74E+17,/realDonaldTrump/status/673675346030542848,FALSE,Should have gone after the oil years ago (like I have been saying).,DonaldTrump
1847,12/6,2015,6.74E+17,/realDonaldTrump/status/673675062600466433,FALSE,"Wish Obama would say ISIS, like almost everyone else, rather than ISIL.",DonaldTrump
1848,12/6,2015,6.74E+17,/realDonaldTrump/status/673672413863927808,FALSE,Is that all there is? We need a new President - FAST!,DonaldTrump
1849,12/6,2015,6.74E+17,/realDonaldTrump/status/673671001171992576,TRUE,"""@homefreeee: @realDonaldTrump He needs to stop all Visas not look at them!""",DonaldTrump
1850,12/6,2015,6.74E+17,/realDonaldTrump/status/673670479622852608,TRUE,"""@LivNow: THIS IS WHO WE R ‰÷ REGISTER AS REP ONLINE 2VOTE TRUMP IN PRIMARY : https://www.usa.gov/register-to-voteåÊ‰Û_ #MAKEAMERICAGREATAGAIN @Carolde""",DonaldTrump
1851,12/6,2015,6.74E+17,/realDonaldTrump/status/673668717440536577,FALSE,Hope he won't spend too much time ripping apart the 2nd. Amendment!,DonaldTrump
1852,12/6,2015,6.74E+17,/realDonaldTrump/status/673667868261752833,FALSE,"The podium in the Oval Office looks odd! Not good, but the words will be the key.",DonaldTrump
1853,12/6,2015,6.74E+17,/realDonaldTrump/status/673667223848882176,FALSE,Hillary won't call out radical Islam! She will be soundly defeated.,DonaldTrump
1854,12/6,2015,6.74E+17,/realDonaldTrump/status/673666079022039041,FALSE,"I will be re-tweeting some of your better, most imaginative and hopefully insightful tweets. Make them good (great)! Important stuff.",DonaldTrump
1855,12/6,2015,6.74E+17,/realDonaldTrump/status/673660010409369602,FALSE,BIG NIGHT ON TWITTER TONIGHT. I WILL BE LIVE TWEETING PRESIDENT OBAMA'S SPEECH AT 7:50 P.M. ( EASTERN). MUST TALK RADICAL ISLAMIC TERRORISM!,DonaldTrump
1856,12/6,2015,6.74E+17,/realDonaldTrump/status/673655438060204032,FALSE,"Gee, @meetthepress with @chucktodd was getting terrible ratings then, with me,  he set records - I saved his job, but Chuck still not nice!",DonaldTrump
